tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_91	0.99925869	0.03729691261619044	0.9441931092460408	0.68326047	0.4	0.2222222222222222	0.2857142857142857	8.0	28.0	12.0	36.0	0.16666666666666666	1.238514724915153	0.3456141145576708	0.3434937417907448
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_90	0.9988503399999996	0.024385603845714275	0.9405550608826366	0.4839733999999998	0.35	0.1794871794871795	0.23728813559322035	7.0	32.0	13.0	39.0	0.1346153846153846	1.3502497330963643	0.36856203430419404	0.24575419287566763
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_9	0.9925941300000001	0.04117591668761904	0.919672416681193	0.7639420100000001	0.5	0.21739130434782608	0.30303030303030304	10.0	36.0	10.0	46.0	0.17857142857142858	1.1297721618746608	0.29508435104699904	0.3920928566072813
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_89	0.9975995699999999	0.03897840235333335	0.9363226153543519	0.7506037700000003	0.45	0.23076923076923078	0.3050847457627119	9.0	30.0	11.0	39.0	0.18	1.2217334784436586	0.33348244043725966	0.3906020464394983
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_88	0.9946073100000001	0.04315234412380949	0.9481698496850671	0.7699542300000003	0.4	0.22857142857142856	0.2909090909090909	8.0	27.0	12.0	35.0	0.1702127659574468	1.158156656293348	0.3257505696385098	0.39317294059129004
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_86	0.9986241200000002	0.047027276479047586	0.9519994372296879	0.7308578	0.55	0.275	0.3666666666666667	11.0	29.0	9.0	40.0	0.22448979591836735	1.26365654566434	0.34255837345269624	0.3717313976780486
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_85	0.9976061300000002	0.04627857998380953	0.9599034420160083	0.77297375	0.4	0.22857142857142856	0.2909090909090909	8.0	27.0	12.0	35.0	0.1702127659574468	1.0568444973714795	0.2972548619976026	0.41569369482517404
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_84	0.9909998999999996	0.03130861099523809	0.9387698101354073	0.5328358400000002	0.35	0.16279069767441862	0.22222222222222227	7.0	36.0	13.0	43.0	0.125	1.1882076946638935	0.31591185209904443	0.27642779906731607
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_83	0.9981778099999998	0.03531440503523811	0.9475521650824207	0.6776442100000001	0.4	0.2222222222222222	0.2857142857142857	8.0	28.0	12.0	36.0	0.16666666666666666	1.0717506672238588	0.2990777181955126	0.35389358152300104
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_82	0.9956392899999998	0.025476212985714272	0.9492489244282365	0.5135312499999999	0.3	0.18181818181818182	0.22641509433962265	6.0	27.0	14.0	33.0	0.1276595744680851	1.0452437568466595	0.2989393669173908	0.26210051186416483
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_81	0.99158862	0.0471053072542857	0.9354498953412959	0.8294580199999997	0.4	0.17391304347826086	0.24242424242424243	8.0	38.0	12.0	46.0	0.13793103448275862	1.34982908692539	0.3525608557028082	0.42432086374594113
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_80	0.99350686	0.017788640258095224	0.9468099382839864	0.40224585999999996	0.4	0.20512820512820512	0.27118644067796605	8.0	31.0	12.0	39.0	0.1568627450980392	1.5047921507825202	0.41074568852205645	0.20354451332312104
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_8	0.9942723900000003	0.016796300945714285	0.932179046285612	0.71206441	0.35	0.16666666666666666	0.22580645161290322	7.0	35.0	13.0	42.0	0.12727272727272726	1.4646451742733362	0.3918605237629366	0.37411026225126687
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_79	0.9967034699999999	0.036380275115238093	0.9296845979926316	0.58534879	0.5	0.2	0.28571428571428575	10.0	40.0	10.0	50.0	0.16666666666666666	1.1938371299121986	0.30517129583739266	0.2995767220641903
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_77	0.9986616700000001	0.02324319863238096	0.9326497270574183	0.5105437900000002	0.45	0.20930232558139536	0.28571428571428575	9.0	34.0	11.0	43.0	0.16666666666666666	1.5773482075004943	0.41937364643774944	0.26085288552656716
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_54	0.99189243	0.029580827328571434	0.9370159891415842	0.62052183	0.5	0.23809523809523808	0.3225806451612903	10.0	32.0	10.0	42.0	0.19230769230769232	1.2668914179372481	0.33895222085442217	0.3196919176838708
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_99	0.9965648000000003	0.023695026730476205	0.9677446025758848	0.5963717999999999	0.4	0.2857142857142857	0.3333333333333333	8.0	20.0	12.0	28.0	0.2	1.4201045141827762	0.4261756773470391	0.303438604303659
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_52	0.9954924100000001	0.04290806015333333	0.9406334764684491	0.7557330900000001	0.4	0.17391304347826086	0.24242424242424243	8.0	38.0	12.0	46.0	0.13793103448275862	1.3003656023350814	0.3396415249355895	0.3883270246186241
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_28	0.9930037800000002	0.018881984248571442	0.9510590303970271	0.8519433000000001	0.4	0.24242424242424243	0.30188679245283023	8.0	25.0	12.0	33.0	0.17777777777777778	1.4638907341406142	0.4186722632244615	0.4346831834955854
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_27	0.99803857	0.037662418046666674	0.940560580286866	0.7422813299999999	0.45	0.23076923076923078	0.3050847457627119	9.0	30.0	11.0	39.0	0.18	1.1479090275351798	0.3133314349296901	0.38279138592207207
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_26	0.9949107000000003	0.01909142299333333	0.9369836648561504	0.3302161800000001	0.35	0.16279069767441862	0.22222222222222227	7.0	36.0	13.0	43.0	0.125	1.1880295669893917	0.3158644928336444	0.17175217697700498
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_25	0.9932797600000001	0.028798558289523827	0.9445549799373896	0.5855187000000002	0.45	0.3	0.36000000000000004	9.0	21.0	11.0	30.0	0.21951219512195122	1.2412159057526024	0.36493498214620634	0.3150464002522099
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_24	0.9958697200000001	0.03262335596285713	0.9328436440933	0.7760826400000002	0.5	0.25	0.3333333333333333	10.0	30.0	10.0	40.0	0.2	1.210433095995157	0.32813029296613366	0.3961313683280716
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_23	0.9958296399999998	0.03636811226095239	0.9591872521723479	0.7903563000000001	0.4	0.34782608695652173	0.37209302325581395	8.0	15.0	12.0	23.0	0.22857142857142856	1.5506329675440556	0.4945418044997261	0.408014565686399
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_22	0.9981291300000003	0.021642339309523844	0.960301421316917	0.39454994999999976	0.3	0.18181818181818182	0.22641509433962265	6.0	27.0	14.0	33.0	0.1276595744680851	1.093884039954985	0.3128504717136078	0.20483405524346351
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_21	0.9993670799999996	0.03514821481333328	0.9592169925380606	0.5438728400000001	0.4	0.25	0.3076923076923077	8.0	24.0	12.0	32.0	0.18181818181818182	0.8450592693760052	0.24383256343720267	0.2735990706081228
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_20	0.9985002700000004	0.0402395458247619	0.9442569747242544	0.63332629	0.45	0.24324324324324326	0.3157894736842105	9.0	28.0	11.0	37.0	0.1875	1.0868227923566909	0.300982414623994	0.32294305199171885
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_53	0.9948093700000002	0.025705097565714298	0.9437582682264861	0.45560135	0.35	0.16666666666666666	0.22580645161290322	7.0	35.0	13.0	42.0	0.12727272727272726	1.0357050655083122	0.2770991476726585	0.23196132232571168
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_29	0.9972774400000002	0.027736739953333308	0.9543306949289487	0.47158440000000007	0.45	0.24324324324324326	0.3157894736842105	9.0	28.0	11.0	37.0	0.1875	1.094513336780137	0.3031122177957904	0.24136996542972308
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_19	0.9962371300000001	0.028668533455238076	0.9611537532708546	0.6617795499999999	0.3	0.21428571428571427	0.25	6.0	22.0	14.0	28.0	0.14285714285714285	1.28991470519405	0.38710550365536467	0.3433668454268534
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_17	0.99686307	0.02479800025523807	0.9443500073624738	0.60436961	0.55	0.2682926829268293	0.36065573770491804	11.0	30.0	9.0	41.0	0.22	1.2015567776673275	0.3235582226720258	0.3172677003712811
strmgCAMI2_short_read_sample_0-99.ccmetagen_1.1.3.profile	strmgCAMI2_short_read_sample_16	0.99396505	0.015842911435238086	0.9474149590595157	0.40003611000000006	0.4	0.16326530612244897	0.23188405797101447	8.0	41.0	12.0	49.0	0.13114754098360656	1.4334723833259149	0.36832954081200175	0.20330828962239675
