Genome	SRR24442552 Mean	SRR24442553 Mean	SRR24442554 Mean	SRR24442555 Mean	SRR24442556 Mean	SRR24442557 Mean	SRR24442558 Mean	SRR24442559 Mean
Co_bin.56	0	5.3145204	3.8530242	0	0	0	0	0
Co_bin.58	0	0	0	0	4.3382993	12.357608	3.4735615	0
Co_bin.59	0.978856	2.94375	1.7901081	0	0	0.41997376	0	0
Co_bin.60	2.093629	17.939228	5.2600737	53.08308	3.518495	0.71330667	0	0
Co_bin.61	0	0.43515483	0.41989014	1.7203285	0.51537406	20.331867	0	0
Co_bin.63	0	0	4.90447	2.8133254	1.7182205	0.31379265	0	0
Co_bin.66	6.235767	6.862017	6.3752513	1.1339777	0.77321625	1.7861326	0	0
Co_bin.74	1.8888706	2.2714143	2.540632	0.16780958	9.626008	0.49967992	0	0
Co_bin.76	0.6199875	0.20660464	0.2582002	0	0.19126238	5.8704777	9.199765	0
Co_bin.78	0	0.1455212	3.0998418	0.13705973	1.7102838	0.89187825	1.0832912	0.44369853
Co_bin.81	0	0	0.67428476	0.90545356	6.356989	3.0847945	2.3698766	0.46113446
Co_bin.84	0	0	0	0	0	1.7215204	4.1472936	7.2564254
Co_bin.88	0	0.4381412	0.89668983	0.680752	11.049957	0.62942535	0.34165093	1.3623956
Co_bin.90	4.264495	12.672905	0.2409765	0	0	0	0	0
Co_bin.93	0.40616754	4.685324	0.8214205	0.17936294	1.1422774	1.8979293	0.19110471	0
Co_bin.94	1.4922657	2.4178073	11.746236	0.13927007	0.63432485	1.6896148	0.2949503	0
Co_bin.99	0.34257782	0.79705805	2.4745743	1.607326	1.4435065	4.169566	1.1601931	0.61308765
Co_bin.102	0	0	0	0	77.84583	1.621802	0.32878223	0.70623684
Co_bin.103	0	0.15563211	0.52655685	0	0.4423007	15.005026	4.39979	0
Co_bin.106	0.45802525	0.5817924	1.3663584	1.5128697	1.3928101	7.0646586	1.0084137	0
Co_bin.109	0.5404609	6.9700027	0.71775436	0	0	0	0	0
Co_bin.110	5.5636764	0.53064036	0	0	0	0	0	0
Co_bin.111	0	3.0886602	5.292045	0.9109154	9.744377	0.5687423	0.40186957	0.4666739
Co_bin.113	0.98919374	4.7117505	0.35853213	0.34274372	2.950545	1.5335574	0	0
Co_bin.119	0	1.8175235	4.247124	1.2509025	0	0	0	0
Co_bin.122	5.2721033	1.9741235	1.7231594	0.21839695	0	0.34062418	0	0
Co_bin.124	1.0247564	0.805152	0.8331512	0	0.22917922	3.463035	0.2095301	0
Co_bin.128	7.2673454	2.6728418	2.0108898	0	0.34896109	2.916949	0.16432993	0
Co_bin.129	0	1.5751082	6.4877305	0.36021554	0.20922717	1.4198998	0	0
Co_bin.134	0.21018086	2.23088	5.0442166	0.49819642	8.604889	31.885977	10.713585	1.8674029
Co_bin.135	3.4431937	0.30340183	4.329785	0.54284203	1.4523603	0	0	0
Co_bin.136	0	6.3531322	8.030814	0	1.046992	1.9522728	5.3172894	0
Co_bin.137	0	1.8293954	3.8664863	0	0	0	0	0
Co_bin.138	1.8433295	2.6075408	0.7621545	0.43095636	0	0.38964555	0	0
Co_bin.139	0	0.12859789	1.0517823	0.15638359	0	7.1444063	0	0
Co_bin.142	0	1.3205153	4.873169	0	0	0	0	0
Co_bin.144	0.58388966	1.1881093	4.164278	0.5820722	1.4029053	22.480925	0.46587542	0
Co_bin.149	10.310652	8.391513	2.5447695	0.24703267	0	0.23849568	0	0
Co_bin.152	0	0	0.2889738	0	0.35038728	2.5562904	5.3937693	0
Co_bin.157	14.604855	3.2806358	1.987013	0	0	0.3866775	0	0
Co_bin.159	0	1.069128	0	0	1.5035505	7.823603	1.8808005	0.60074157
